mid,event_id,feature,no_precursor
2024.10.14startup_a,0.0,switch_rate,False
2024.10.14startup_a,2.0,switch_rate,True
2024.10.14startup_a,3.0,switch_rate,False
2024.10.14startup_a,4.0,switch_rate,False
2024.10.14startup_a,5.0,switch_rate,True
2024.10.14startup_a,6.0,switch_rate,True
2024.10.14startup_a,7.0,switch_rate,False
2024.10.14startup_a,8.0,switch_rate,True
2024.10.14startup_a,9.0,switch_rate,False
2024.10.14startup_a,10.0,switch_rate,True
2024.10.14startup_a,11.0,switch_rate,False
2024.10.14startup_a,12.0,switch_rate,True
2024.10.14startup_a,13.0,switch_rate,True
2024.10.14startup_a,14.0,switch_rate,True
2024.10.14startup_a,16.0,switch_rate,True
2024.10.14startup_a,17.0,switch_rate,True
2024.10.14startup_a,18.0,switch_rate,True
2024.10.14startup_a,19.0,switch_rate,True
2024.10.14startup_a,20.0,switch_rate,True
2024.10.14startup_a,21.0,switch_rate,True
2024.10.14startup_a,22.0,switch_rate,True
2024.10.14startup_a,23.0,switch_rate,True
2024.10.14startup_a,24.0,switch_rate,True
2024.10.14startup_a,25.0,switch_rate,True
2024.10.14startup_a,26.0,switch_rate,True
2024.10.14startup_a,27.0,switch_rate,False
2024.10.14startup_a,28.0,switch_rate,False
2024.10.14startup_b,0.0,switch_rate,True
2024.10.14startup_b,1.0,switch_rate,False
2024.10.14startup_b,2.0,switch_rate,True
2024.10.14startup_b,3.0,switch_rate,True
2024.10.14startup_b,4.0,switch_rate,False
2024.10.14startup_b,5.0,switch_rate,False
2024.10.14startup_b,6.0,switch_rate,True
2024.10.14startup_b,7.0,switch_rate,False
2024.10.14startup_b,8.0,switch_rate,False
2024.10.14startup_b,9.0,switch_rate,True
2024.10.14startup_b,10.0,switch_rate,True
2024.10.14startup_b,11.0,switch_rate,False
2024.10.14startup_b,12.0,switch_rate,True
2024.10.14startup_b,13.0,switch_rate,False
2024.10.14startup_b,14.0,switch_rate,True
2024.10.14startup_b,15.0,switch_rate,False
2024.10.14startup_b,16.0,switch_rate,True
2024.10.14startup_b,17.0,switch_rate,False
2024.10.14startup_b,18.0,switch_rate,False
2024.10.14startup_b,19.0,switch_rate,True
2024.10.14startup_b,20.0,switch_rate,True
2024.10.14startup_b,21.0,switch_rate,False
2024.10.14startup_b,22.0,switch_rate,True
2024.10.14startup_b,23.0,switch_rate,False
2024.10.14startup_b,24.0,switch_rate,False
2024.10.14startup_b,25.0,switch_rate,False
2024.10.14startup_b,26.0,switch_rate,True
2024.10.14startup_b,27.0,switch_rate,True
2024.10.14startup_b,28.0,switch_rate,True
2024.10.14startup_b,29.0,switch_rate,False
2024.10.14startup_b,30.0,switch_rate,True
2024.10.14startup_b,31.0,switch_rate,False
2024.10.14startup_b,32.0,switch_rate,True
2024.10.14startup_b,33.0,switch_rate,False
2024.10.14startup_b,34.0,switch_rate,True
2024.10.25startup_a,0.0,switch_rate,True
2024.10.25startup_a,1.0,switch_rate,True
2024.10.25startup_a,2.0,switch_rate,False
2024.10.25startup_a,3.0,switch_rate,True
2024.10.25startup_a,4.0,switch_rate,True
2024.10.25startup_a,5.0,switch_rate,False
2024.10.25startup_a,6.0,switch_rate,False
2024.10.25startup_a,7.0,switch_rate,False
2024.10.25startup_a,8.0,switch_rate,True
2024.10.25startup_a,9.0,switch_rate,True
2024.10.25startup_a,10.0,switch_rate,True
2024.10.25startup_a,11.0,switch_rate,True
2024.10.25startup_a,12.0,switch_rate,True
2024.10.25startup_a,13.0,switch_rate,False
2024.10.25startup_a,14.0,switch_rate,True
2024.10.25startup_a,15.0,switch_rate,True
2024.10.25startup_a,16.0,switch_rate,False
2024.10.25startup_a,17.0,switch_rate,True
2024.10.25startup_a,18.0,switch_rate,False
2024.10.25startup_a,19.0,switch_rate,False
2024.10.25startup_a,20.0,switch_rate,False
2024.10.28startup_b,0.0,switch_rate,True
2024.10.28startup_b,1.0,switch_rate,False
2024.10.28startup_b,2.0,switch_rate,True
2024.10.28startup_b,3.0,switch_rate,True
2024.10.28startup_b,4.0,switch_rate,True
2024.10.28startup_b,5.0,switch_rate,False
2024.10.28startup_b,6.0,switch_rate,True
2024.10.28startup_b,7.0,switch_rate,True
2024.10.28startup_b,8.0,switch_rate,False
2024.10.28startup_b,9.0,switch_rate,False
2024.10.28startup_b,10.0,switch_rate,True
2024.10.28startup_b,11.0,switch_rate,False
2024.10.28startup_b,12.0,switch_rate,False
2024.10.28startup_b,13.0,switch_rate,False
2024.10.28startup_b,14.0,switch_rate,False
2024.10.28startup_b,15.0,switch_rate,True
2024.10.28startup_b,16.0,switch_rate,True
2024.10.28startup_b,17.0,switch_rate,True
2024.10.28startup_b,18.0,switch_rate,False
2024.10.28startup_b,19.0,switch_rate,True
2024.10.28startup_b,20.0,switch_rate,False
2024.10.28startup_b,21.0,switch_rate,False
2024.10.28startup_b,22.0,switch_rate,False
2024.10.28startup_b,23.0,switch_rate,True
2024.10.28startup_b,24.0,switch_rate,True
2024.10.28startup_b,25.0,switch_rate,False
2024.10.28startup_b,26.0,switch_rate,False
2024.10.28startup_b,27.0,switch_rate,False
2024.10.28startup_b,28.0,switch_rate,True
